Borough_code,Borough_name,All,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000011,Greenwich,254557,4307,4293,4282,4173,3890,3886,3422,3135,2928,2954,2983,3009,2975,2944,3073,3140,2879,3099,3442,3501,3608,3967,4077,4177,4158,4246,4266,4416,4548,4637,5171,5409,5118,4759,4756,4335,4431,4255,4189,4044,4089,3820,3744,3735,3730,3622,3542,3454,3237,3279,3129,2955,2834,2684,2450,2479,2290,2217,2097,2000,1878,2033,1911,2184,2166,1690,1688,1455,1382,1280,1288,1312,1238,1192,1150,1155,1018,982,902,882,900,808,728,682,635,605,558,467,437,385,383,278,150,117,110,80,65,37,29,12,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000012,Hackney,246270,4222,3948,3769,3573,3637,3487,3129,3002,2919,2823,2839,2773,2752,2790,2724,2738,2683,2587,2722,2680,3197,3604,4129,4985,5770,6213,6693,6943,7078,6911,7000,6612,6078,5416,4971,4595,4591,4082,4127,3940,3651,3552,3416,3369,3405,3237,3292,2937,2900,2732,2601,2437,2348,2098,2041,2034,1852,1727,1727,1516,1550,1535,1431,1405,1350,1135,1152,1063,1018,935,904,909,890,807,860,789,803,628,630,580,552,530,481,406,376,318,322,266,244,174,161,138,103,54,39,31,30,24,12,6,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000013,Hammersmith and Fulham,182493,2745,2493,2334,2146,2182,1954,1799,1693,1616,1497,1613,1600,1516,1400,1492,1550,1461,1422,1551,1932,2436,2657,3365,4161,4660,5018,5343,5323,5212,5125,5082,4769,4328,4011,3818,3663,3614,3450,3284,3171,2940,2755,2759,2607,2608,2416,2454,2277,2174,2093,1948,1776,1775,1660,1544,1518,1477,1454,1346,1336,1317,1309,1299,1409,1343,1089,1060,1056,949,857,878,929,826,743,715,674,653,594,564,550,552,501,449,398,365,350,280,259,224,184,182,151,85,65,66,50,41,33,10,12,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000014,Haringey,254926,3785,3768,3603,3573,3383,3398,3232,3168,3040,2937,3046,3055,2976,3086,3071,2949,2799,2801,2797,2907,2984,3225,3749,4365,4512,5168,5621,5711,5774,5788,6107,5882,5826,5524,5200,4807,4520,4548,4386,4423,4327,3967,4007,3932,3902,3832,3799,3491,3395,3139,2941,2851,2664,2522,2438,2407,2180,2061,2067,1898,1890,1988,1792,1828,1745,1459,1507,1355,1214,1145,1167,1239,1221,1116,1152,1026,960,844,880,796,737,681,555,461,433,402,368,312,266,228,226,169,100,86,68,55,43,40,24,14,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000015,Harrow,239056,3215,3218,3225,3220,3038,3072,2944,2991,2779,2635,2769,2861,2806,3009,3145,3131,3153,3451,3023,2346,2462,2915,3362,3731,3596,3697,3966,3832,3814,4036,4160,4030,3900,3716,3802,3395,3451,3385,3466,3415,3455,3252,3337,3334,3260,3300,3252,3304,3261,3221,3176,3091,3054,2891,2945,2834,2774,2581,2500,2395,2499,2405,2319,2421,2366,2041,2051,1907,1785,1588,1563,1723,1684,1550,1528,1486,1483,1385,1210,1162,1184,1136,936,893,784,727,656,605,537,457,404,324,169,169,123,110,105,64,50,35,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000016,Havering,237232,2628,2714,2784,2794,2741,2760,2697,2686,2504,2583,2667,2863,2941,2852,3042,3132,3243,3196,3086,2701,2886,2868,3123,3131,2968,3010,2929,2901,2884,2938,3043,3008,2883,2639,2911,2779,2890,2847,3022,3196,3298,3383,3381,3407,3602,3563,3597,3574,3531,3394,3567,3368,3335,3246,3004,2823,2714,2795,2680,2662,2685,2704,2756,3170,3246,2425,2348,2297,2136,1847,1830,1987,1902,1906,1883,1859,1807,1630,1748,1675,1603,1520,1436,1278,1104,1030,947,859,746,614,532,408,225,185,151,98,83,66,43,22,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000017,Hillingdon,273936,3947,4146,3854,4016,3741,3743,3424,3327,3230,3191,3248,3407,3373,3498,3351,3397,3534,3693,3900,4509,4711,4463,4458,4179,4123,4124,4076,4177,4268,4233,4477,4455,4438,4171,3966,4052,3902,4048,3943,4067,3897,3943,3866,4060,3913,3969,3990,3801,3816,3765,3553,3414,3309,3265,3026,2976,2869,2637,2622,2421,2401,2494,2492,2732,2667,2060,2121,1962,1859,1633,1626,1754,1655,1696,1695,1571,1576,1410,1392,1297,1255,1133,1031,913,847,739,655,620,514,508,448,363,205,142,125,113,84,52,43,38,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000018,Hounslow,253957,4223,4008,4001,3888,3605,3368,3186,2858,2779,2708,2743,2740,2724,2931,2807,2964,2956,2998,2863,2896,2996,3254,3720,4317,4325,4957,5139,5075,5486,5574,5424,5381,5000,4926,4734,4573,4393,4101,4174,3903,3827,3725,3541,3599,3452,3552,3461,3361,3228,3102,3113,2924,2926,2730,2809,2566,2542,2385,2377,2335,2153,2270,2113,2160,2149,1691,1711,1592,1517,1405,1321,1407,1387,1300,1261,1176,1112,1009,1048,952,922,828,691,627,617,504,491,482,417,326,284,227,124,113,78,67,43,51,27,23,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000019,Islington,206125,2676,2595,2425,2341,2252,2095,1906,1899,1866,1817,1873,1828,1799,1828,1790,1835,1749,1811,2364,3041,3288,3457,3959,4588,5161,5726,6150,6027,6024,5817,5821,5603,5014,4306,4123,3873,3528,3431,3377,3281,3163,2989,3051,2917,2956,2948,2820,2594,2668,2337,2309,2091,2030,1926,1817,1758,1638,1586,1478,1441,1384,1435,1478,1479,1452,1108,1170,1130,1077,910,906,939,944,862,839,745,716,720,686,611,629,571,497,444,401,394,317,254,256,222,196,158,69,53,69,46,26,24,17,14,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000020,Kensington and Chelsea,158649,1946,1886,1802,1742,1813,1638,1550,1577,1477,1372,1413,1360,1282,1224,1163,1137,1090,1218,1380,1650,1846,2025,2272,2631,2548,2999,3071,3418,3590,3524,3925,3855,3740,3485,3340,3025,2903,2877,2767,2828,2544,2501,2557,2430,2400,2417,2345,2323,2197,2094,2069,1980,1900,1791,1735,1579,1585,1516,1540,1466,1658,1624,1630,1607,1657,1331,1397,1269,1222,1052,943,1021,965,863,865,733,746,624,576,583,599,540,476,437,406,353,346,296,304,240,223,183,120,91,86,56,44,44,35,20,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
