Borough_code,Borough_name,Age_code,Age_desc,Value
E09000002,Barking and Dagenham,23,Aged 23 years,2846
E09000002,Barking and Dagenham,24,Aged 24 years,2894
E09000002,Barking and Dagenham,25,Aged 25 years,2919
E09000002,Barking and Dagenham,26,Aged 26 years,3001
E09000002,Barking and Dagenham,27,Aged 27 years,2969
E09000002,Barking and Dagenham,28,Aged 28 years,3163
E09000002,Barking and Dagenham,29,Aged 29 years,3164
E09000002,Barking and Dagenham,30,Aged 30 years,3252
E09000002,Barking and Dagenham,31,Aged 31 years,3550
E09000002,Barking and Dagenham,32,Aged 32 years,3748
E09000002,Barking and Dagenham,33,Aged 33 years,3768
E09000002,Barking and Dagenham,34,Aged 34 years,3737
E09000002,Barking and Dagenham,35,Aged 35 years,3772
E09000002,Barking and Dagenham,36,Aged 36 years,3869
E09000002,Barking and Dagenham,37,Aged 37 years,3667
E09000002,Barking and Dagenham,38,Aged 38 years,3758
E09000002,Barking and Dagenham,39,Aged 39 years,3572
E09000002,Barking and Dagenham,40,Aged 40 years,3770
E09000002,Barking and Dagenham,41,Aged 41 years,3487
E09000002,Barking and Dagenham,42,Aged 42 years,3524
E09000002,Barking and Dagenham,43,Aged 43 years,3141
E09000002,Barking and Dagenham,44,Aged 44 years,3151
E09000002,Barking and Dagenham,45,Aged 45 years,3101
E09000002,Barking and Dagenham,46,Aged 46 years,3109
E09000002,Barking and Dagenham,47,Aged 47 years,3031
E09000002,Barking and Dagenham,48,Aged 48 years,2807
E09000002,Barking and Dagenham,49,Aged 49 years,2882
E09000002,Barking and Dagenham,50,Aged 50 years,2897
E09000002,Barking and Dagenham,51,Aged 51 years,2860
E09000002,Barking and Dagenham,52,Aged 52 years,2805
E09000002,Barking and Dagenham,53,Aged 53 years,2800
E09000002,Barking and Dagenham,54,Aged 54 years,2473
E09000002,Barking and Dagenham,55,Aged 55 years,2510
E09000002,Barking and Dagenham,56,Aged 56 years,2410
E09000002,Barking and Dagenham,57,Aged 57 years,2205
E09000002,Barking and Dagenham,58,Aged 58 years,2254
E09000002,Barking and Dagenham,59,Aged 59 years,1947
E09000002,Barking and Dagenham,60,Aged 60 years,2029
E09000002,Barking and Dagenham,61,Aged 61 years,1777
E09000002,Barking and Dagenham,62,Aged 62 years,1719
E09000002,Barking and Dagenham,63,Aged 63 years,1524
E09000002,Barking and Dagenham,64,Aged 64 years,1537
E09000002,Barking and Dagenham,65,Aged 65 years,1374
E09000002,Barking and Dagenham,66,Aged 66 years,1296
E09000002,Barking and Dagenham,67,Aged 67 years,1154
E09000002,Barking and Dagenham,68,Aged 68 years,1126
E09000002,Barking and Dagenham,69,Aged 69 years,992
E09000002,Barking and Dagenham,70,Aged 70 years,976
E09000002,Barking and Dagenham,71,Aged 71 years,952
E09000002,Barking and Dagenham,72,Aged 72 years,910
E09000002,Barking and Dagenham,73,Aged 73 years,994
E09000002,Barking and Dagenham,74,Aged 74 years,946
E09000002,Barking and Dagenham,75,Aged 75 years,758
E09000002,Barking and Dagenham,76,Aged 76 years,668
E09000002,Barking and Dagenham,77,Aged 77 years,626
E09000002,Barking and Dagenham,78,Aged 78 years,673
E09000002,Barking and Dagenham,79,Aged 79 years,512
E09000002,Barking and Dagenham,80,Aged 80 years,546
E09000002,Barking and Dagenham,81,Aged 81 years,562
E09000002,Barking and Dagenham,82,Aged 82 years,528
E09000002,Barking and Dagenham,83,Aged 83 years,505
E09000002,Barking and Dagenham,84,Aged 84 years,441
E09000002,Barking and Dagenham,85,Aged 85 years,398
E09000002,Barking and Dagenham,86,Aged 86 years,351
E09000002,Barking and Dagenham,87,Aged 87 years,285
E09000002,Barking and Dagenham,88,Aged 88 years,269
E09000002,Barking and Dagenham,89,Aged 89 years,247
E09000002,Barking and Dagenham,90,Aged 90 years,222
E09000002,Barking and Dagenham,91,Aged 91 years,186
E09000002,Barking and Dagenham,92,Aged 92 years,131
E09000002,Barking and Dagenham,93,Aged 93 years,110
E09000002,Barking and Dagenham,94,Aged 94 years,75
E09000002,Barking and Dagenham,95,Aged 95 years,55
E09000002,Barking and Dagenham,96,Aged 96 years,58
E09000002,Barking and Dagenham,97,Aged 97 years,41
E09000002,Barking and Dagenham,98,Aged 98 years,21
E09000002,Barking and Dagenham,99,Aged 99 years,15
E09000002,Barking and Dagenham,100,Aged 100 years and over,24
E09000003,Barnet,0,Aged under 1 year,4611
E09000003,Barnet,1,Aged 1 year,4813
E09000003,Barnet,2,Aged 2 years,4818
E09000003,Barnet,3,Aged 3 years,4911
E09000003,Barnet,4,Aged 4 years,4953
E09000003,Barnet,5,Aged 5 years,4925
E09000003,Barnet,6,Aged 6 years,4957
E09000003,Barnet,7,Aged 7 years,4959
E09000003,Barnet,8,Aged 8 years,5242
E09000003,Barnet,9,Aged 9 years,5169
E09000003,Barnet,10,Aged 10 years,5262
E09000003,Barnet,11,Aged 11 years,5177
E09000003,Barnet,12,Aged 12 years,5199
E09000003,Barnet,13,Aged 13 years,5222
E09000003,Barnet,14,Aged 14 years,4947
E09000003,Barnet,15,Aged 15 years,4825
E09000003,Barnet,16,Aged 16 years,4897
E09000003,Barnet,17,Aged 17 years,4502
E09000003,Barnet,18,Aged 18 years,4007
E09000003,Barnet,19,Aged 19 years,3233
E09000003,Barnet,20,Aged 20 years,3293
E09000003,Barnet,21,Aged 21 years,4086
E09000003,Barnet,22,Aged 22 years,4577
E09000003,Barnet,23,Aged 23 years,5102
E09000003,Barnet,24,Aged 24 years,5337
E09000003,Barnet,25,Aged 25 years,5493
E09000003,Barnet,26,Aged 26 years,5500
E09000003,Barnet,27,Aged 27 years,5523
E09000003,Barnet,28,Aged 28 years,5609
E09000003,Barnet,29,Aged 29 years,5916
E09000003,Barnet,30,Aged 30 years,5952
E09000003,Barnet,31,Aged 31 years,5904
E09000003,Barnet,32,Aged 32 years,6148
E09000003,Barnet,33,Aged 33 years,6116
E09000003,Barnet,34,Aged 34 years,6055
E09000003,Barnet,35,Aged 35 years,6135
E09000003,Barnet,36,Aged 36 years,6220
E09000003,Barnet,37,Aged 37 years,5935
E09000003,Barnet,38,Aged 38 years,6223
E09000003,Barnet,39,Aged 39 years,6276
E09000003,Barnet,40,Aged 40 years,6343
E09000003,Barnet,41,Aged 41 years,6097
E09000003,Barnet,42,Aged 42 years,6149
E09000003,Barnet,43,Aged 43 years,5917
E09000003,Barnet,44,Aged 44 years,5582
E09000003,Barnet,45,Aged 45 years,5463
E09000003,Barnet,46,Aged 46 years,5499
E09000003,Barnet,47,Aged 47 years,5578
E09000003,Barnet,48,Aged 48 years,5486
E09000003,Barnet,49,Aged 49 years,5441
E09000003,Barnet,50,Aged 50 years,5296
E09000003,Barnet,51,Aged 51 years,5318
E09000003,Barnet,52,Aged 52 years,5193
E09000003,Barnet,53,Aged 53 years,4933
E09000003,Barnet,54,Aged 54 years,4905
E09000003,Barnet,55,Aged 55 years,4805
E09000003,Barnet,56,Aged 56 years,4741
E09000003,Barnet,57,Aged 57 years,4773
E09000003,Barnet,58,Aged 58 years,4297
E09000003,Barnet,59,Aged 59 years,4258
E09000003,Barnet,60,Aged 60 years,4140
E09000003,Barnet,61,Aged 61 years,3849
E09000003,Barnet,62,Aged 62 years,3882
E09000003,Barnet,63,Aged 63 years,3812
E09000003,Barnet,64,Aged 64 years,3454
E09000003,Barnet,65,Aged 65 years,3383
E09000003,Barnet,66,Aged 66 years,3185
E09000003,Barnet,67,Aged 67 years,2976
E09000003,Barnet,68,Aged 68 years,2978
E09000003,Barnet,69,Aged 69 years,2925
E09000003,Barnet,70,Aged 70 years,2875
E09000003,Barnet,71,Aged 71 years,2932
E09000003,Barnet,72,Aged 72 years,2894
E09000003,Barnet,73,Aged 73 years,2810
E09000003,Barnet,74,Aged 74 years,2847
E09000003,Barnet,75,Aged 75 years,2402
E09000003,Barnet,76,Aged 76 years,2301
E09000003,Barnet,77,Aged 77 years,2239
E09000003,Barnet,78,Aged 78 years,1900
E09000003,Barnet,79,Aged 79 years,1620
E09000003,Barnet,80,Aged 80 years,1533
E09000003,Barnet,81,Aged 81 years,1592
E09000003,Barnet,82,Aged 82 years,1579
E09000003,Barnet,83,Aged 83 years,1332
E09000003,Barnet,84,Aged 84 years,1305
E09000003,Barnet,85,Aged 85 years,1267
E09000003,Barnet,86,Aged 86 years,1150
E09000003,Barnet,87,Aged 87 years,1004
E09000003,Barnet,88,Aged 88 years,956
E09000003,Barnet,89,Aged 89 years,743
E09000003,Barnet,90,Aged 90 years,736
E09000003,Barnet,91,Aged 91 years,588
E09000003,Barnet,92,Aged 92 years,516
E09000003,Barnet,93,Aged 93 years,368
E09000003,Barnet,94,Aged 94 years,294
E09000003,Barnet,95,Aged 95 years,226
E09000003,Barnet,96,Aged 96 years,188
E09000003,Barnet,97,Aged 97 years,163
E09000003,Barnet,98,Aged 98 years,120
E09000003,Barnet,99,Aged 99 years,67
E09000003,Barnet,100,Aged 100 years and over,106
E09000004,Bexley,0,Aged under 1 year,2815
E09000004,Bexley,1,Aged 1 year,2969
E09000004,Bexley,2,Aged 2 years,3051
E09000004,Bexley,3,Aged 3 years,3079
E09000004,Bexley,4,Aged 4 years,3115
E09000004,Bexley,5,Aged 5 years,3224
E09000004,Bexley,6,Aged 6 years,3166
E09000004,Bexley,7,Aged 7 years,3131
E09000004,Bexley,8,Aged 8 years,3272
E09000004,Bexley,9,Aged 9 years,3405
E09000004,Bexley,10,Aged 10 years,3311
E09000004,Bexley,11,Aged 11 years,3336
E09000004,Bexley,12,Aged 12 years,3249
E09000004,Bexley,13,Aged 13 years,3319
E09000004,Bexley,14,Aged 14 years,3224
E09000004,Bexley,15,Aged 15 years,2980
E09000004,Bexley,16,Aged 16 years,3000
E09000004,Bexley,17,Aged 17 years,3061
E09000004,Bexley,18,Aged 18 years,2671
E09000004,Bexley,19,Aged 19 years,2401
E09000004,Bexley,20,Aged 20 years,2462
E09000004,Bexley,21,Aged 21 years,2678
E09000004,Bexley,22,Aged 22 years,2773
E09000004,Bexley,23,Aged 23 years,2791
E09000004,Bexley,24,Aged 24 years,2802
E09000004,Bexley,25,Aged 25 years,2828
E09000004,Bexley,26,Aged 26 years,2841
E09000004,Bexley,27,Aged 27 years,2978
E09000004,Bexley,28,Aged 28 years,3006
E09000004,Bexley,29,Aged 29 years,3225
E09000004,Bexley,30,Aged 30 years,3361
E09000004,Bexley,31,Aged 31 years,3368
E09000004,Bexley,32,Aged 32 years,3553
E09000004,Bexley,33,Aged 33 years,3403
E09000004,Bexley,34,Aged 34 years,3425
E09000004,Bexley,35,Aged 35 years,3448
E09000004,Bexley,36,Aged 36 years,3634
E09000004,Bexley,37,Aged 37 years,3459
E09000004,Bexley,38,Aged 38 years,3590
E09000004,Bexley,39,Aged 39 years,3582
E09000004,Bexley,40,Aged 40 years,3693
E09000004,Bexley,41,Aged 41 years,3648
E09000004,Bexley,42,Aged 42 years,3381
E09000004,Bexley,43,Aged 43 years,3172
E09000004,Bexley,44,Aged 44 years,3239
E09000004,Bexley,45,Aged 45 years,3128
E09000004,Bexley,46,Aged 46 years,3181
E09000004,Bexley,47,Aged 47 years,3156
E09000004,Bexley,48,Aged 48 years,3279
E09000004,Bexley,49,Aged 49 years,3270
E09000004,Bexley,50,Aged 50 years,3454
E09000004,Bexley,51,Aged 51 years,3436
E09000004,Bexley,52,Aged 52 years,3519
E09000004,Bexley,53,Aged 53 years,3338
E09000004,Bexley,54,Aged 54 years,3518
E09000004,Bexley,55,Aged 55 years,3499
E09000004,Bexley,56,Aged 56 years,3453
E09000004,Bexley,57,Aged 57 years,3384
E09000004,Bexley,58,Aged 58 years,3175
E09000004,Bexley,59,Aged 59 years,3097
E09000004,Bexley,60,Aged 60 years,3056
E09000004,Bexley,61,Aged 61 years,2756
E09000004,Bexley,62,Aged 62 years,2722
E09000004,Bexley,63,Aged 63 years,2568
E09000004,Bexley,64,Aged 64 years,2473
E09000004,Bexley,65,Aged 65 years,2288
E09000004,Bexley,66,Aged 66 years,2196
E09000004,Bexley,67,Aged 67 years,2094
E09000004,Bexley,68,Aged 68 years,2033
E09000004,Bexley,69,Aged 69 years,2044
E09000004,Bexley,70,Aged 70 years,2023
E09000004,Bexley,71,Aged 71 years,2006
E09000004,Bexley,72,Aged 72 years,2007
E09000004,Bexley,73,Aged 73 years,2255
